code,name,latitude,longitude,altitude,postal,city
6113,Alexandre-DeSÃ¨ve / de Maisonneuve,45.5219,-73.55534,26,H2L 2V7,Montréal
6230,Waverly / Fairmount,45.52210956205183,-73.59620042145252,69,H2T 2X6,Montréal
6178,Rivard / Rachel,45.5222776,-73.5775906,48,H2J 2G7,Montreal
7022,Durocher / Bernard,45.522317596602306,-73.60693126916885,74,H2V 3Y4,Montréal
7034,Clark / Laurier,45.522583736890226,-73.59358858375344,67,H2T 2T9,Montréal
6245,Bloomfield / Van Horne,45.5225858,-73.61265779,69,H2V 3S4,Montréal
6231,Jeanne-Mance / St-Viateur,45.52282093699329,-73.60129594802856,72,H2V 4K5,Montréal
6183,Henri-Julien / du Mont-Royal,45.522847236474675,-73.58361225138651,55,H2W 2K9,Montréal
7031,Berri / Rachel,45.5228780183634,-73.57749536633492,47,H2J 2P8,Montréal
6146,du Parc-La Fontaine / Roy,45.52290738118557,-73.56836378574371,43,H2L 3M4,Montréal
7072,Beaudry / Sherbrooke,45.52303459543551,-73.56540597975254,38,H2L 3G4,Montréal
6176,St-AndrÃ© / Duluth,45.523171,-73.573431,46,H2L 3W1,Montréal
7073,Logan / de Champlain,45.5231943285584,-73.55584256350994,26,None,Montréal
6123,Alexandre-de-SÃ¨ve / la Fontaine,45.52327641182773,-73.55821833014488,26,H2L 2W3,Montréal
6177,St-Hubert / Rachel,45.5234013790077,-73.57645601034164,47,H2L 4A8,Montréal
6114,MÃ©tro Papineau (Cartier / Ste-Catherine),45.52353,-73.55199,18,H2K 4C8,Montréal
6201,Villeneuve / de l'HÃ´tel-de-Ville,45.52354419830203,-73.58733236789703,60,H2T 1L6,Montréal
6746,MÃ©tro Acadie (de l'Acadie / Beaumont),45.52357479400008,-73.62344294786453,58,H3N 2V5,Montréal
6116,Plessis / Ontario,45.523584,-73.560941,27,H2L 2Y3,Montréal
5007,MÃ©tro Longueuil - UniversitÃ© de Sherbrooke,45.523854,-73.519677,14,J4K 0B7,Longueuil
6195,de Bullion / St-Joseph,45.5240365462478,-73.59014332294464,65,H2T 1Z7,Montréal
6233,Bernard / Jeanne-Mance,45.5242864769531,-73.60497325658798,71,H2V 1T4,Montréal
6280,Fairmount / St-Dominique,45.524504989237535,-73.59414249658585,67,H2T 1C8,Montréal
6145,du Parc-La Fontaine / Duluth,45.524565651056875,-73.57207864522934,47,H2L,Montréal
6926,Marie-Anne / St-Hubert,45.524634,-73.578755,47,H2J 2W6,Montréal
6184,MÃ©tro Mont-Royal (Rivard / du Mont-Royal),45.524673,-73.58255,49,H2J 2N2,Montréal
6147,Calixa-LavallÃ©e / Sherbrooke,45.52479,-73.56545,44,H2L,Montréal
6232,Hutchison / Van Horne,45.525021229212776,-73.61073732376099,66,H2V 1J5,Montréal
6118,de Champlain / Ontario,45.52504753729988,-73.56003552675247,27,H2L 2T3,Montréal
6199,Clark / St-Viateur,45.52516404439482,-73.59930574893951,72,H2T 2V3,Montréal
6200,St-Dominique / Maguire,45.52517749913384,-73.59544605016708,67,H2T 1V4,Montréal
6187,Resther / du Mont-Royal,45.52562819123256,-73.58177483081818,49,H2J 1W7,Montréal
6094,de GaspÃ© / Fairmount,45.525669,-73.593016,66,H2T 1Z9,Montréal
6188,Mentana / Marie-Anne,45.526026565221414,-73.57785880565643,47,H2J 3B3,Montréal
7077,Fullum / Jean Langlois,45.52612803739037,-73.54600220918655,21,H2K,Montréal
6111,Parthenais / Ste-Catherine,45.52620038317685,-73.54926645755768,19,H2K 2H9,Montréal
6752,Hutchison / Beaubien,45.5262464,-73.61374676,61,H2V 4E1,Montréal
7032,Drolet / Laurier,45.526251876092516,-73.58975838928018,62,H2T,Montréal
6235,St-Dominique / St-Viateur,45.52654331973003,-73.59823286533356,72,H2T 1V5,Montréal
7024,Berri / Gilford,45.5265658689096,-73.58542799949646,53,H2J 2R6,Montréal
6728,Champagneur / Jean-Talon,45.52679805446713,-73.62421274185179,57,H3N 2J5,Montréal
6334,d'Outremont / Ogilvy,45.52684538403074,-73.62666830420494,55,H3N 2L8,Montréal
6143,Rachel / de BrÃ©beuf,45.52689,-73.57264,47,H2J 2J9,Montréal
6119,Dorion / Ontario,45.52697,-73.558021,26,H2K,Montréal
6234,Bernard / Clark,45.52697,-73.60261,70,H2T 2J6,Montréal
6190,Pontiac / Gilford,45.527009334270645,-73.58576595783234,54,H2J 2T4,Montréal
7026,Maguire / Henri-Julien,45.527041096087785,-73.59347056655677,66,H2T 1C4,Montreal
6148,Ã‰mile-DuployÃ© / Sherbrooke,45.52729,-73.56463,43,H2K,Montréal
6228,Waverly / Van Horne,45.527363,-73.607723,66,H2T 2Y4,Montréal
6169,Boyer / du Mont-Royal,45.527432126380575,-73.57991673052311,48,H2J,Montréal
6136,MÃ©tro Laurier (Rivard / Laurier),45.52761627,-73.5891147,61,H2J,Montréal
6281,Resther / St-Joseph,45.5277271,-73.58628362,55,H2J 2V7,Montréal
7028,de GaspÃ© / St-Viateur,45.52774827884841,-73.59743893146515,70,H2T 2A3,Montréal
6156,Marie-Anne / de la Roche,45.52775814390426,-73.57618510723114,47,H2J,Montréal
6142,Calixa-LavallÃ©e / Rachel,45.527794785525096,-73.57193917036057,46,H2L 3A7,Montréal
6089,Henri-Julien / Carmel,45.527839413108,-73.59482109546661,66,H2T 2E7,Montréal
7025,St-Dominique / Bernard,45.52793332015246,-73.60122251338906,69,H2T 1V6,Montréal
6108,Logan / Fullum,45.528448693514136,-73.55108499526978,19,H2K,Montréal
6157,de la Roche / du Mont-Royal,45.52875779392618,-73.57867956161499,48,H2J 3J4,Montréal
6110,Poupart / Ste-Catherine,45.52903307037075,-73.54634821414948,20,H2K 3E6,Montréal
6132,LariviÃ¨re / de Lorimier,45.5291345371163,-73.55923354625702,27,H2K 3S9,Montréal
6314,de LanaudiÃ¨re / Marie-Anne,45.529219,-73.574777,46,H2J 3P3,Montréal
7040,St-Urbain / Beaubien,45.52951033828327,-73.61067965626717,63,H2S 3G6,Montréal
5003,Place Longueuil,45.52951221728282,-73.51769149303436,13,J4H,Longueuil
6186,St-AndrÃ© / Laurier,45.52955900967215,-73.5876018932322,58,H2J 3A7,Montréal
6051,de GaspÃ© / Marmier,45.529686,-73.601728,66,H2S 2X4,Montréal
6137,Gauthier / Papineau,45.52969260094507,-73.56740087270737,46,H2K 1A1,Montréal
6198,HÃ©lÃ¨ne-Baillargeon / St-Denis,45.52974,-73.59527,67,H2J,Montréal
6140,Marquette / Rachel,45.5298015824607,-73.5702896118164,46,H2J,Montréal
6192,Berri / St-GrÃ©goire,45.529802,-73.591766,66,H2J 2S7,Montreal
6129,de Bordeaux / Sherbrooke,45.52997069129102,-73.56305301189423,42,H2K 3Z1,Montréal
6271,Casgrain / de Bellechasse,45.529993,-73.604214,64,H2S 2X6,Montréal
6170,de Mentana / Laurier,45.530046,-73.58677,56,H2J 1G3,Montréal
6503,MÃ©tro Parc  (Ogilvy / Hutchison),45.53035130173597,-73.6243924498558,57,H3N,Montréal
6747,Waverly / St-Zotique,45.53050525974957,-73.61470833420753,59,H2S 3H8,Montréal
6122,Logan / d'Iberville,45.53057,-73.54913,23,H2K 2B9,Montréal
6158,Gilford / de BrÃ©beuf,45.53081622781595,-73.58162596821785,50,H2J 1R1,Montréal
6168,Marmier / St-Denis,45.530871318676006,-73.59834551811218,67,H2S,Montréal
6155,Garnier / du Mont-Royal,45.53092,-73.57674,49,H2J 3S7,Montréal
6274,de la Roche / St-Joseph,45.531164,-73.583695,51,H2J,Montréal
6338,Ball / Querbes,45.53120329140607,-73.63214671611786,53,H3N,Montréal
6906,MÃ©tro Rosemont (Rosemont / de St-Vallier),45.53132719875296,-73.59788820147514,67,H2S 1Z3,Montréal
6191,St-Zotique / Clark,45.531401,-73.612674,60,H2S,Montréal
6929,St-AndrÃ© / St-GrÃ©goire,45.531411853692525,-73.59174862504005,64,H2J 4A8,Montréal
6138,Gauthier / De Lorimier,45.531818,-73.565317,44,H2K 3X7,Montréal
6711,Alexandra / Waverly,45.531938,-73.617842,59,H2S 1A7,Montréal
6124,Poupart / Ontario,45.53193889278052,-73.55343863368034,20,H2K 3H1,Montréal
6237,de LanaudiÃ¨re / Gilford,45.53198492626314,-73.58067512512207,50,H2J,Montréal
6126,Rouen / Fullum,45.53217,-73.55859,26,H2K 3P3,Montréal
6024,Messier / Hochelaga,45.532227058311776,-73.56061805854551,33,H2K 3R3,Montréal
6141,de Bordeaux / Rachel,45.53227,-73.56828,46,H2H,Montréal
6247,St-Dominique / St-Zotique,45.53228145673193,-73.61099146306515,62,H2S 3A7,Montréal
6154,Marquette / du Mont-Royal,45.53229,-73.57544,48,H2J 1Z6,Montréal
7042,Alexandra / Jean Talon,45.532330645908054,-73.62018674612045,60,H2S 3J6,Montréal
6139,des Ã‰rables / Gauthier,45.53240768,-73.5647763,45,H2K 3V8,Montréal
6915,Alma / Beaubien,45.53243586450861,-73.60665500164032,63,H2S 2W5,Montréal
6165,de BrÃ©beuf / Laurier,45.53248,-73.58507,53,H2J 1G8,Montréal
6153,Cartier / Marie-Anne,45.532674,-73.571776,47,H2H 1M2,Montréal
6164,Chambord / Laurier,45.532929543795944,-73.58415059745312,52,H2J 3N3,Montréal
6160,Garnier / St-Joseph,45.5329774553515,-73.58122229576111,52,H2J 3S8,Montréal
6252,Mozart / St-Laurent,45.53318,-73.61544,60,H2S,Montréal
6913,Drolet / Beaubien,45.533348,-73.605834,62,H2S 2S9,Montréal
6908,de Bellechasse / de St-Vallier,45.53334868400571,-73.60113568603992,65,H2S 2P4,Montréal
7030,de Bordeaux / Marie-Anne,45.53340912723174,-73.57065707445145,48,H2H,Montréal
6750,des Ã‰rables / Rachel,45.5334955551535,-73.56693148612976,46,H2H 2C6,Montréal
